"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahamas, The","BHS","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","44400000","26070000","21680000","29500000","37060000","43150000","49791749.3585898","53283293.0695293","47419157.5627205","67083563.002373","58118559.6371956","77543083.6251967","92269277.8802252","100205503.194829","113488532.440932","121973941.278934","161141024.7222","182475237.258348","231498467.823811","170115271.744528","172036083.486967","146838360.448918","158165375.368113","181313537.598879","155332535.372008","172283366.874487","176619981.956283","179199375.081757","171391392.400695","227046333.545615","346518164.92189","410499712.197927","349644583.160698","319252843.728164","380645829.417907","491108558.163103","674401942.812061","586297936.226167","461331327.062986","464482895.393893","567909087.744537","1009823819.80338","1044153800.49774","1070217424.65299","846941347.75579","807408405.007461","874337064.77897","895475136.251959","1001933945.18353","1413972940.85571","","",
"Bosnia and Herzegovina","BIH","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80406088.8620727","174530374.663959","452403157.491563","496626475.424899","1233132927.04398","1336266925.26078","1813519793.37355","2427266571.09408","2547614646.93943","3671010361.24337","5041780928.68635","4479825860.3902","4529038497.8833","4366185779.56729","4149556639.15232","4283491070.5025","4868373030.66019","4744432933.35914","4689224890.64006","5026411768.10228","6349265518.60968","6685395101.27296","",
"Belarus","BLR","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100987552.590763","377020387.881762","469150024.053594","393699160.773387","702756649.059353","294270277.250556","350495841.300002","390676493.528801","618811275.148582","594813852.309087","749374642.741323","1136619426.53213","1068560520.73254","3952129362.32941","2686986489.72563","4831383077.41711","3431041411.53055","6011235197.42622","5808989576.16545","4936961289.69032","3422007764.28753","2743599260.41231","3206863223.26984","5375413408.5196","5222909015.48716","",
"Belize","BLZ","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","5490665.587099","8020500","13978000","10463000","12675500","10334500","9837496.64180636","9305511.47698691","6072200.27825425","14812996.7294923","26897012.7342972","36414762.3033381","51657192.8785779","59880053.3550609","69781501.8992474","53016557.6678253","52942515.7781842","38746495.1016734","34521492.1816793","37608482.6699034","58401982.7843742","59415503.2472151","44084978.8045731","71305511.291037","122898988.202728","112041498.811027","114506518.223208","84684001.2302939","48253483.7920367","71357473.8645495","113721680.976537","108512535.020953","166162897.20763","213683331.633225","217999757.441087","237114250.351976","288924768.784865","402752296.213006","486876774.541703","437151657.938585","376735092.705476","312140148.194318","294468435.057294","",
"Bermuda","BMU","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","5800000","6400000","1000000","8400000","17830000","29850000","33880000","28590000","28600000","30300000","32820000","39649150.4290203","44257152.1668283","54929832.9243378","176220040.162618","139529730.055758","151063977.431962","211088440.814208","169768527.098242","178200000","106100000","99839674.5584418","155911031.074549","160136104.276958","251639208.382791","200010984.182777","163670857.338569","97314186.6106768","105826913.91584","204900000","166810086.639826","106371521.549443","181792546.097048","223386892.216689","450958647.772345","659954209.427882","955010418.559974","1086643726.25318","948491205.029463","974931910.336526","926431168.382596","886421960.900623","580458218.556947","716795371.945774","872372122.861509","1327603534.2382","2614812412.54798","4554023296.60844","6927359027.5215","7583785263.62136","8133860291.42495","9910714358.23311","11659294426.12","12782730516.2821","13480889094.5477","11600788401.4687","8487385112.51074","8473883546.85806","7177825599.93464","",
"Brazil","BRA","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","141000000","185000000","60000000","69000000","154000000","421000000","380120000","154460000","212330000","611330000","1141660000","1696186417.94277","4132748276.74583","6359911334.0128","5215752779.69263","3980374681.37877","6488040931.77382","7192021622.37625","11826399177.1808","8966257354.82902","5769329542.0342","6603517844.25765","3927907217.94856","4355083756.47813","11507921396.9956","10604582161.6872","7233512231.96702","6956784425.9388","7996130622.65344","8484900000","8238526007.59699","8675945140.11071","23007500004.125","31104569118.5912","37388536998.0861","50073008380.8018","58789943587.583","51329504787.1422","43164752772.0479","35279324443.4703","32433984750.6899","35563040398.0627","37461990439.998","48846596457.0736","52461784859.9627","53245209760.7774","85156183463.7376","179432865855.624","192843633608.446","237364464789.493","287056037253.54","350356038764.795","369565972392.636","356214148612.928","360964711541.741","354174892918.288","362504953620.439","371150619206.193","371933901818.424","",
"Barbados","BRB","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","15520000","12470000","16580000","18860581.9485159","27988871.9452569","32374267.4537116","39152392.3868118","39579071.4418523","27977462.3357664","37006128.4768429","59836293.0341154","66117378.520896","78922214.8922177","100557507.516246","121601454.889382","123274572.582898","132516856.862091","139773567.662566","151712104.876885","145212250.989516","135462636.890904","109464877.651326","117535619.353829","87245215.4944285","139962500.721878","150453016.885195","195765859.521783","219099891.129847","289685885.665313","264917582.833211","365945246.439458","301944450.75495","472693479.363243","690373663.970562","668514868.724441","737943173.036773","579857104.076333","603465289.14044","636089800.395959","839429792.734651","738527014.772726","871145394.006876","833540950.447842","812596875.611228","839722748.012763","680957827.153573","632258680.138622","553604323.881265","431758241.990471","","","",
"Brunei Darussalam","BRN","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516845011.531987","408340574.417856","381821178.372171","448994000.486639","474743404.017911","488889689.086051","491885270.089171","513570258.749097","667491396.601975","751159763.901468","1357268956.60248","1563162507.49248","2486782108.4328","3285313962.10124","3398517135.50423","3471224496.94199","3211355887.90277","3321823469.34923","3299647425.31004","3220619854.72166","",
"Bhutan","BTN","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","35480122.7902269","43047367.9006903","53322920.2571645","61001773.7575379","86949129.7612553","95679182.9552323","90027655.9863463","88834210.6038084","101300000.860306","85120004.6922051","97959126.3119322","121399997.681132","130457701.238667","190071378.054329","188716779.038473","256803120.584636","292285630.243815","317632400.62607","323362186.673919","354949465.105834","366596385.792882","398620011.69281","467426180.776746","545324764.562267","699049465.438374","764803120.519601","890893416.551035","1002139101.89679","789643751.580542","954678385.085582","991306676.488434","1245086666.63096","1103179128.57934","1127277331.66278","1206238190.85106","987247035.583982","",
